,Timestamp,High/Low,Pred(Ft)
477,2020-05-03 12:01:00,High Tide,10.08
478,2020-05-03 18:24:00,Low Tide,0.08
479,2020-05-04 00:39:00,High Tide,10.01
480,2020-05-04 06:51:00,Low Tide,0.22
481,2020-05-04 13:03:00,High Tide,10.4
482,2020-05-04 19:20:00,Low Tide,-0.28
483,2020-05-05 01:34:00,High Tide,10.71
484,2020-05-05 07:49:00,Low Tide,-0.49
485,2020-05-05 14:01:00,High Tide,10.73
486,2020-05-05 20:13:00,Low Tide,-0.6
487,2020-05-06 02:26:00,High Tide,11.34
488,2020-05-06 08:44:00,Low Tide,-1.13
489,2020-05-06 14:56:00,High Tide,10.95
490,2020-05-06 21:04:00,Low Tide,-0.8
491,2020-05-07 03:16:00,High Tide,11.79
492,2020-05-07 09:37:00,Low Tide,-1.57
493,2020-05-07 15:49:00,High Tide,11.01
494,2020-05-07 21:54:00,Low Tide,-0.8
495,2020-05-08 04:05:00,High Tide,12.0
496,2020-05-08 10:28:00,Low Tide,-1.75
497,2020-05-08 16:42:00,High Tide,10.89
498,2020-05-08 22:44:00,Low Tide,-0.62
499,2020-05-09 04:55:00,High Tide,11.96
500,2020-05-09 11:20:00,Low Tide,-1.65
501,2020-05-09 17:36:00,High Tide,10.61
502,2020-05-09 23:34:00,Low Tide,-0.26
503,2020-05-10 05:46:00,High Tide,11.68
504,2020-05-10 12:11:00,Low Tide,-1.3
505,2020-05-10 18:28:00,High Tide,10.22
506,2020-05-11 00:25:00,Low Tide,0.22
507,2020-05-11 06:37:00,High Tide,11.22
508,2020-05-11 13:03:00,Low Tide,-0.77
509,2020-05-11 19:22:00,High Tide,9.76
510,2020-05-12 01:17:00,Low Tide,0.76
511,2020-05-12 07:30:00,High Tide,10.65
512,2020-05-12 13:57:00,Low Tide,-0.16
513,2020-05-12 20:18:00,High Tide,9.31
514,2020-05-13 02:12:00,Low Tide,1.28
515,2020-05-13 08:26:00,High Tide,10.05
